FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,local_name,Crop_ref,Edible,Energy,WATER,Protein,Fat,Carbohydrate,Fiber,ASH,CA,FE,MG,P,K,NA,ZN,CU,VITA_RAE,RETOL,B_Cart_eq,VITD,VITE,THIA,RIBF,NIA,VITB6C,FOL,VITB12,VITC,food_group_unicef
20002,12,835,Miscellaneous,Teff@ red,Teff,0,0,357,0,11,2.5,73,4.5,2.8,113,81,0,0,0,0,3.9,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Grains@ roots and tubers
1046,1,46,Cereals and their products,Bread@ wheat@ white,Bread wheat,0,1,251,36.5,8.4,1.8,48.4,3.1,1.9,28,1.2,23,93,117,547,0.6,0.16,0,0,0,0,0.5,0.16,0.05,1.5,0.06,29,0,0,Grains@ roots and tubers
20003,12,800,Miscellaneous,Barley,Barley,0,0,340,0,5.4,1.1,77.8,9.6,0.7,17,1,25,110,170,2,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Grains@ roots and tubers
20028,12,814,Miscellaneous,Finger millet,Finger millet,0,0,365,0,9.3,5.9,64.2,9,2.1,23,15.2,96,402,332,12,2.58,0.45,0,0,0,0,0,0,0,0,0,0,0,0,Grains@ roots and tubers
1043,1,43,Cereals and their products,Wheat flour,Emmer Wheat,0,1,356,11.8,10.4,1.5,72.5,3.2,0.6,19,2,60,110,135,3,1.8,0.15,0,0,1,0,0.3,0.28,0.1,1.2,0.2,24,0,0,Grains@ roots and tubers
1040,1,40,Cereals and their products,Sorghum@ white,Sorghum,0,1,370,9.4,9.3,3.9,65.5,9.9,2,24,3.9,311,249,298,14,2.08,0.18,0,0,0,0,1.1,0.36,0.17,3.4,0.25,30,0,0,Grains@ roots and tubers
1004,1,4,Cereals and their products,Maize@ white,Maize,0,1,351,11.4,9.2,4.1,63.9,9.7,1.8,19,3.1,82,246,310,11,1.55,0.18,0,0,0,0,1.3,0.35,0.1,2.1,0.2,26,0,0,Grains@ roots and tubers
20021,12,811,Miscellaneous,Faba bean,Faba bean,0,0,309,0,25.3,1.4,38.3,20.8,3.3,95.6,5.2,135.5,430.6,1190,25,3.55,0.82,2.4,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
20016,12,813,Miscellaneous,Field peas,Field Pea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
20006,12,820,Miscellaneous,Haricot beans@ white,Haricot bean,0,0,311,0,21.8,1.8,42.6,18.6,3.7,141.5,8,165.5,403.9,1340,16.7,2.91,1.03,0,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
20033,12,808,Miscellaneous,Chick peas@ white,Chickpea,0,0,337,0,20.4,5.2,42,20.7,2.8,121.1,6.6,131.5,264.4,819.1,11.8,3.12,0.44,4.5,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
,,,Legumes and their products,0,Noug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legumes and nuts
2083,2,83,Starchy roots@ tubers and their products,Potato,Potato,0,0.84,81,77.8,1.9,0.1,16.9,1.8,1.5,11,0.9,27,50,551,7,0.35,0.09,1,0,14,0,0.06,0.08,0.12,1.2,0.27,18,0,17.3,Grains@ roots and tubers
4156,4,156,Vegetables and their products,Carrot,Carrot,0,0.89,36,88.8,1,0.3,5.7,3.1,1.1,35,0.7,12,42,266,42,0.26,0.06,713,0,8560,0,0.47,0.06,0.05,0.7,0.23,31,0,7,Vitamin A rich fruits and Vegetable
,,,Starchy roots@ tubers and their products,0,Beet root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grains@ roots and tubers
,,,Vegetables and their products,0,Shallot,,,75,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,Other fruits and vegetables
4196,4,196,Vegetables and their products,Peppers@ chilli,Pepper,0,0.73,46,87.3,1.9,0.3,7.6,2.2,0.7,16,1.1,24,43,331,8,0.29,0.15,53,0,640,0,0.69,0.08,0.09,1.1,0.39,23,0,193.1,Other fruits and vegetables
20017,12,822,Miscellaneous,Kale(yabesha gomen),Kale,0,0,28,0,1.6,0.1,5.6,3.7,1.5,220,0.8,44,45,420,9,0.3,0.05,240,0,0,0,0,0,0,0,0,0,0,0,Other fruits and vegetables
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
