FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,local_name,Crop_ref,Edible,Energy,WATER,Protein,Fat,Carbohydrate,Fiber,ASH,CA,FE,MG,P,K,NA,ZN,CU,VITA_RAE,RETOL,B_Cart_eq,VITD,VITE,THIA,RIBF,NIA,VITB6C,FOL,VITB12,VITC,food_group_unicef
1046,1,46,Cereals and their products,Bread@ wheat@ white,Bread wheat,0,1,251,36.5,8.4,1.8,48.4,3.1,1.9,28,1.2,23,93,117,547,0.6,0.16,0,0,0,0,0.5,0.16,0.05,1.5,0.06,29,0,0,Grains@ roots and tubers
20003,12,800,Miscellaneous,Barley,Barley,0,0,340,0,5.4,1.1,77.8,9.6,0.7,17,1,25,110,170,2,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Grains@ roots and tubers
1043,1,43,Cereals and their products,Wheat flour,Emmer wheat,0,1,356,11.8,10.4,1.5,72.5,3.2,0.6,19,2,60,110,135,3,1.8,0.15,0,0,1,0,0.3,0.28,0.1,1.2,0.2,24,0,0,Grains@ roots and tubers
1004,1,4,Cereals and their products,Maize@ white,Maize,0,1,351,11.4,9.2,4.1,63.9,9.7,1.8,19,3.1,82,246,310,11,1.55,0.18,0,0,0,0,1.3,0.35,0.1,2.1,0.2,26,0,0,Grains@ roots and tubers
20021,12,811,Miscellaneous,Faba bean,Faba bean,0,0,309,0,25.3,1.4,38.3,20.8,3.3,95.6,5.2,135.5,430.6,1190,25,3.55,0.82,2.4,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
20016,12,813,Miscellaneous,Field peas,Field pea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
20033,12,808,Miscellaneous,Chick peas@ white,Chickpea,0,0,337,0,20.4,5.2,42,20.7,2.8,121.1,6.6,131.5,264.4,819.1,11.8,3.12,0.44,4.5,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
3140,3,140,Legumes and their products,Lentils@ dried,Lentil,0,1,296,10.3,25.4,1.8,29.4,30.5,2.5,61,7,103,391,855,9,3.9,0.74,3,0,42,0,0.49,0.59,0.23,2.3,0.68,295,0,0,Legumes and nuts
3114,3,114,Legumes and their products,Cowpea@ dried,Cowpea,0,1,320,11.8,21.2,1.3,47.2,15.3,3.2,82,7.3,187,387,1210,19,4.61,0.68,3,0,32,0,0.42,0.71,0.15,3.1,0.36,417,0,0.8,Legumes and nuts
3118,3,118,Legumes and their products,Soya bean@ dried,Soybean,0,1,411,9.3,32,17,27.6,9.3,4.9,232,7.8,245,468,1740,5,4.73,1.48,1,0,13,0,0.72,0.7,0.28,2,0.82,375,0,0,Legumes and nuts
20030,12,824,Miscellaneous,Linseed,Linseed,0,0,482,0,25,31,36.1,18,3,201,14.6,351,547,468,11,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
2083,2,83,Starchy roots@ tubers and their products,Potato,Potato,0,0.84,81,77.8,1.9,0.1,16.9,1.8,1.5,11,0.9,27,50,551,7,0.35,0.09,1,0,14,0,0.06,0.08,0.12,1.2,0.27,18,0,17.3,Grains@ roots and tubers
4156,4,156,Vegetables and their products,Carrot,Carrot,0,0.89,36,88.8,1,0.3,5.7,3.1,1.1,35,0.7,12,42,266,42,0.26,0.06,713,0,8560,0,0.47,0.06,0.05,0.7,0.23,31,0,7,Vitamin A rich fruits and Vegetable
4168,4,168,Vegetables and their products,Onion,Onion,0,0.91,37,89.5,1.1,0.1,6.9,1.8,0.6,25,0.3,10,39,183,4,0.26,0.04,0,0,1,0,0.04,0.05,0.04,0.2,0.1,16,0,10.3,Other fruits and vegetables
,,,Vegetables and their products,0,Shallot,,,75,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,Other fruits and vegetables
4165,4,165,Vegetables and their products,Garlic,Garlic,0,0.87,137,64.3,6.8,0.4,25,2.3,1.3,32,1.6,21,158,533,11,0.79,0.15,0,0,0,0,0.01,0.17,0.06,0.5,0.79,4,0,18,Other fruits and vegetables
20017,12,822,Miscellaneous,Kale(yabesha gomen),Kale,0,0,28,0,1.6,0.1,5.6,3.7,1.5,220,0.8,44,45,420,9,0.3,0.05,240,0,0,0,0,0,0,0,0,0,0,0,Other fruits and vegetables
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
