FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,local_name,Crop_ref,Edible,Energy,WATER,Protein,Fat,Carbohydrate,Fiber,ASH,CA,FE,MG,P,K,NA,ZN,CU,VITA_RAE,RETOL,B_Cart_eq,VITD,VITE,THIA,RIBF,NIA,VITB6C,FOL,VITB12,VITC,food_group_unicef
20003,12,800,Miscellaneous,Barley,Barley,0,0,340,0,5.4,1.1,77.8,9.6,0.7,17,1,25,110,170,2,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Grains@ roots and tubers
1004,1,4,Cereals and their products,Maize@ white,Maize,0,1,351,11.4,9.2,4.1,63.9,9.7,1.8,19,3.1,82,246,310,11,1.55,0.18,0,0,0,0,1.3,0.35,0.1,2.1,0.2,26,0,0,Grains@ roots and tubers
20021,12,811,Miscellaneous,Faba bean,Faba bean,0,0,309,0,25.3,1.4,38.3,20.8,3.3,95.6,5.2,135.5,430.6,1190,25,3.55,0.82,2.4,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
20016,12,813,Miscellaneous,Field peas,Field pea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legumes and nuts
,,,Vegetables and their products,0,Gomenzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other fruits and vegetables
2083,2,83,Starchy roots@ tubers and their products,Potato,Potato,0,0.84,81,77.8,1.9,0.1,16.9,1.8,1.5,11,0.9,27,50,551,7,0.35,0.09,1,0,14,0,0.06,0.08,0.12,1.2,0.27,18,0,17.3,Grains@ roots and tubers
,,,Miscellaneous,0,Enset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other fruits and vegetables
4156,4,156,Vegetables and their products,Carrot,Carrot,0,0.89,36,88.8,1,0.3,5.7,3.1,1.1,35,0.7,12,42,266,42,0.26,0.06,713,0,8560,0,0.47,0.06,0.05,0.7,0.23,31,0,7,Vitamin A rich fruits and Vegetable
4168,4,168,Vegetables and their products,Onion,Onion,0,0.91,37,89.5,1.1,0.1,6.9,1.8,0.6,25,0.3,10,39,183,4,0.26,0.04,0,0,1,0,0.04,0.05,0.04,0.2,0.1,16,0,10.3,Other fruits and vegetables
,,,Vegetables and their products,0,Shallot,,,75,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,Other fruits and vegetables
4165,4,165,Vegetables and their products,Garlic,Garlic,0,0.87,137,64.3,6.8,0.4,25,2.3,1.3,32,1.6,21,158,533,11,0.79,0.15,0,0,0,0,0.01,0.17,0.06,0.5,0.79,4,0,18,Other fruits and vegetables
20026,12,833,Miscellaneous,Swiss chard,Swisschard,0,0,19,0,0,0.1,3.7,3.3,1.9,75,3.6,74,33,1200,71,0.3,0.06,310,0,0,0,0,0,0,0,0,0,0,0,Other fruits and vegetables
20017,12,822,Miscellaneous,Kale(yabesha gomen),Kale,0,0,28,0,1.6,0.1,5.6,3.7,1.5,220,0.8,44,45,420,9,0.3,0.05,240,0,0,0,0,0,0,0,0,0,0,0,Other fruits and vegetables
5245,5,245,Fruits and their products,Apple@ with skin,Apple,0,0.9,54,85.6,0.3,0.2,11.4,2.4,0.2,6,0.1,5,11,107,1,0.04,0.03,3,0,33,0,0,0.02,0.03,0.1,0.04,3,0,4.6,Other fruits and vegetables
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
